nestedness order,nestedness weights,score order,socre weights
decomposition,11.43419958678257,decomposition,8.456267607913462
fungal pathogenicity,6.008060507892192,fungal pathogenicity,2.7868712054469986
nutrient uptake,5.648190716725971,nutrient uptake,1.833115208372485
herbivory,5.63206327070529,herbivory,1.5769858383181925
pollination,4.154480192630246,pollination,1.1420054525349297
seed dispersal,2.0644583338116655,seed dispersal,0.20475468741393124
